Sound	*Index	Redirect	Channel	FileName	IsLocal	IsMusic	IsAmbientScene	IsAmbientEvent	IsUI	Volume Min	Volume Max	Pitch Min	Pitch Max	Group Size	Group Weight	Loop	Fade In	Fade Out	Defer Inst	Stop Inst	Duration	Compound	Falloff	LFEMix	3dSpread	Priority	Stream	Is2D	Tracking	Solo	Music Vol	Block 1	Block 2	Block 3	HDOptOut	Delay	4737
cursor_convert_ready	10	cursor_convert_ready_hd_4	sfx/cursor-ui_sd	cursor\convertready.flac	0	0	0	0	1	255	255	100	100	0	0	0	0	0	1	0	0	0	1	0	120	100	0	1	0	0	0	-1	-1	-1	0	0	
cursor_convert_item	11	cursor_convert_item_hd_1	sfx/cursor-ui_sd	cursor\convert.flac	0	0	0	0	1	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	120	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_identify_ready	12	cursor_identify_ready_hd_1	sfx/cursor-ui_sd	cursor\identifyready.flac	0	0	0	0	1	255	255	100	100	0	0	0	0	0	1	0	0	0	1	0	120	100	0	0	0	0	0	-1	-1	-1	0	0	
cursor_identify_item	13	cursor_identify_item_hd_1	sfx/cursor-ui_sd	cursor\identify.flac	0	0	0	0	1	255	255	100	100	0	0	0	0	0	0	0	0	4	1	0	120	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_questdone	14	cursor_questdone_hd_1	sfx/cursor-ui_sd	cursor\questdone.flac	0	0	0	0	1	255	255	100	100	0	0	0	0	0	0	0	0	12	1	0	120	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_repair_item	15	cursor_repair_item_hd_1	sfx/cursor-ui_sd	cursor\repair.flac	0	0	0	0	1	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	120	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_hostile	16	cursor_hostile_hd_1	sfx/cursor-ui_sd	cursor\hostile.flac	0	0	0	0	0	255	255	100	100	0	0	0	0	0	1	0	0	0	1	0	120	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_amazon_select	17	cursor_amazon_select_hd	sfx/player-intro-selection_sd	cursor\intro\amazon_select.flac	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	120	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_amazon_deselect	18	cursor_amazon_deselect_hd	sfx/player-intro-selection_sd	cursor\intro\amazon_deselect.flac	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	120	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_barbarian_select	19	cursor_barbarian_select_hd	sfx/player-intro-selection_sd	cursor\intro\barbarian_select.flac	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	120	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_barbarian_deselect	20	cursor_barbarian_deselect_hd	sfx/player-intro-selection_sd	cursor\intro\barbarian_deselect.flac	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	120	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_necromancer_select	21	cursor_necromancer_select_hd	sfx/player-intro-selection_sd	cursor\intro\necromancer_select.flac	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	120	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_necromancer_deselect	22	cursor_necromancer_deselect_hd	sfx/player-intro-selection_sd	cursor\intro\necromancer_deselect.flac	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	120	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_paladin_select	23	cursor_paladin_select_hd	sfx/player-intro-selection_sd	cursor\intro\paladin_select.flac	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	120	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_paladin_deselect	24	cursor_paladin_deselect_hd	sfx/player-intro-selection_sd	cursor\intro\paladin_deselect.flac	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	120	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_sorceress_select	25	cursor_sorceress_select_hd	sfx/player-intro-selection_sd	cursor\intro\sorceress_select.flac	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	120	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_sorceress_deselect	26	cursor_sorceress_deselect_hd	sfx/player-intro-selection_sd	cursor\intro\sorceress_deselect.flac	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	120	255	0	0	0	0	0	-1	-1	-1	0	0	
quest_anyasteam	27	quest_anyasteam_hd	sfx/ambient/event-3d_sd	quest\anyasteam.flac	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	0	0	0	1	25	0	255	0	0	0	0	0	-1	-1	-1	0	0	
quest_anyaicevent	28	quest_anyaicevent_hd	sfx/ambient/event-3d_sd	quest\anyaicevent.flac	0	0	0	0	0	255	255	100	100	0	0	1	8	16	0	0	0	-1	1	25	0	255	0	0	0	0	0	-1	-1	-1	0	0	
quest_ancients_cloud	29	quest_ancients_cloud_hd	sfx/ambient/event-3d_sd	quest\ball1.flac	0	0	0	0	0	255	255	100	100	0	0	1	8	12	0	0	0	24	1	25	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_ancients_statue	30	quest_ancients_statue_hd	sfx/ambient/event-3d_sd	quest\ancientstatue.flac	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	0	0	0	1	25	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_hellforge_flash_1	31	quest_hellforge_flash_hd_1	sfx/ambient/event-3d_sd	quest\pieceflash1.flac	0	0	0	0	0	80	80	100	100	2	0	0	0	0	0	0	0	0	1	25	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_hellforge_flash_2	32		sfx/ambient/event-3d_sd	quest\pieceflash2.flac	0	0	0	0	0	80	80	100	100	0	0	0	0	0	0	0	0	0	1	25	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_hellforge_flash_3	33		sfx/ambient/event-3d_sd	none.flac	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	1	25	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_hellforge_place	34	quest_hellforge_place_hd	sfx/ambient/event-3d_sd	object\hellforgeplace.flac	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	0	0	0	1	25	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_hellforge_smash	35	quest_hellforge_smash_hd	sfx/ambient/event-3d_sd	object\hellforgesmash.flac	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	0	0	0	1	25	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_hellforge_soul_1	36	quest_hellforge_soul_hd_1	sfx/ambient/event-3d_sd	quest\soulrise1.flac	0	0	0	0	0	224	224	100	100	3	0	0	0	6	0	0	0	12	1	25	0	50	0	0	1	0	0	-1	-1	-1	0	0	
quest_hellforge_soul_2	37		sfx/ambient/event-3d_sd	quest\soulrise2.flac	0	0	0	0	0	224	224	100	100	0	0	0	0	6	0	0	0	12	1	25	0	50	0	0	1	0	0	-1	-1	-1	0	0	
quest_hellforge_soul_3	38		sfx/ambient/event-3d_sd	quest\soulrise3.flac	0	0	0	0	0	224	224	100	100	0	0	0	0	6	0	0	0	12	1	25	0	50	0	0	1	0	0	-1	-1	-1	0	0	
quest_horadric_staff_spin	39	quest_horadric_staff_spin_hd	sfx/ambient/event-3d_sd	quest\staffloop.flac	0	0	0	0	0	255	255	100	100	0	0	1	3	6	1	0	0	0	1	25	0	100	0	0	1	0	0	25280	-1	-1	0	0	
quest_horadric_staff_light	40	quest_horadric_staff_light_hd	sfx/ambient/event-3d_sd	quest\spotlight.flac	0	0	0	0	0	255	255	100	100	0	0	0	0	0	1	0	0	0	1	25	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_nihlathakdeath	41	quest_nihlathakdeath_hd	sfx/ambient/event-3d_sd	quest\nihlathakdeath.flac	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	0	0	-1	1	25	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_radament_holybolt_1	42		sfx/ambient/event-3d_sd	skill\paladin\holybolt1.flac	0	0	0	0	0	224	224	100	100	3	0	1	0	6	0	0	0	12	1	25	0	50	0	0	1	0	0	26537	-1	-1	0	0	
quest_radament_holybolt_2	43		sfx/ambient/event-3d_sd	skill\paladin\holybolt2.flac	0	0	0	0	0	224	224	100	100	0	0	1	0	6	0	0	0	12	1	25	0	50	0	0	1	0	0	27948	-1	-1	0	0	
quest_radament_holybolt_3	44		sfx/ambient/event-3d_sd	skill\paladin\holybolt3.flac	0	0	0	0	0	224	224	100	100	0	0	1	0	6	0	0	0	12	1	25	0	50	0	0	1	0	0	25046	-1	-1	0	0	
quest_raiders_light_shaft	45	quest_raiders_light_shaft_hd	sfx/ambient/event-3d_sd	monster\scimitar\loop.flac	0	0	0	0	0	255	255	100	100	0	0	1	6	6	1	0	0	-1	1	25	60	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_tainted_sun_flash_1	46	quest_tainted_sun_flash_hd_1	sfx/ambient/event-3d_sd	quest\flash1.flac	0	0	0	0	0	255	255	100	100	3	0	0	0	0	1	0	0	0	1	25	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_tainted_sun_flash_2	47		sfx/ambient/event-3d_sd	quest\flash2.flac	0	0	0	0	0	255	255	100	100	0	0	0	0	0	1	0	0	0	1	25	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_tainted_sun_flash_3	48		sfx/ambient/event-3d_sd	quest\flash3.flac	0	0	0	0	0	255	255	100	100	0	0	0	0	0	1	0	0	0	1	25	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_tainted_sun_ball_1	49	quest_tainted_sun_ball_hd_1	sfx/ambient/event-3d_sd	quest\ball1.flac	0	0	0	0	0	255	255	100	100	3	0	1	4	12	0	0	0	24	1	25	0	50	0	0	1	0	0	-1	-1	-1	0	0	
quest_tainted_sun_ball_2	50		sfx/ambient/event-3d_sd	quest\ball2.flac	0	0	0	0	0	255	255	100	100	0	0	1	4	12	0	0	0	24	1	25	0	50	0	0	1	0	0	-1	-1	-1	0	0	
quest_tainted_sun_ball_3	51		sfx/ambient/event-3d_sd	quest\ball3.flac	0	0	0	0	0	255	255	100	100	0	0	1	4	12	0	0	0	24	1	25	0	50	0	0	1	0	0	-1	-1	-1	0	0	
scene_catacombs	52	catacombs_hd	sfx/ambient/scene-2d_sd	ambient\scene\catacombs.flac	0	0	1	0	0	150	150	100	100	0	0	1	12	12	0	0	0	0	1	25	0	100	1	1	0	0	0	-1	-1	-1	0	0	
scene_cathedral	53	cathedral_hd	sfx/ambient/scene-2d_sd	ambient\scene\cathedral.flac	0	0	1	0	0	180	180	100	100	0	0	1	12	12	0	0	0	0	1	25	0	100	1	1	0	0	0	-1	-1	-1	0	0	
scene_cave	54	cave_hd	sfx/ambient/scene-2d_sd	ambient\scene\cave.flac	0	0	1	0	0	179	179	100	100	0	0	1	12	12	0	0	0	0	1	25	0	100	1	1	0	0	0	-1	-1	-1	0	0	
scene_crypt	55	crypt_hd	sfx/ambient/scene-2d_sd	ambient\scene\crypt.flac	0	0	1	0	0	255	255	100	100	0	0	1	12	12	0	0	0	0	1	25	0	100	1	1	0	0	0	-1	-1	-1	0	0	
scene_desert_day	56	desertday_hd	sfx/ambient/scene-2d_sd	ambient\scene\desertday.flac	0	0	1	0	0	255	255	100	100	0	0	1	12	12	0	0	0	0	1	25	0	100	1	1	0	0	0	-1	-1	-1	0	0	
scene_desert_night	57	desertnight_hd	sfx/ambient/scene-2d_sd	ambient\scene\desertnight.flac	0	0	1	0	0	255	255	100	100	0	0	1	12	12	0	0	0	0	1	25	0	100	1	1	0	0	0	-1	-1	-1	0	0	
scene_harem	58	harem_hd	sfx/ambient/scene-2d_sd	ambient\scene\harem.flac	0	0	1	0	0	255	255	100	100	0	0	1	12	12	0	0	0	0	1	25	0	100	1	1	0	0	0	-1	-1	-1	0	0	
scene_jungle_day	59	jungleday_hd	sfx/ambient/scene-2d_sd	ambient\scene\jungleday.flac	0	0	1	0	0	200	200	100	100	0	0	1	12	12	0	0	0	0	1	25	0	100	1	1	0	0	0	-1	-1	-1	0	0	
scene_jungle_night	60	junglenight_hd	sfx/ambient/scene-2d_sd	ambient\scene\junglenight.flac	0	0	1	0	0	255	255	100	100	0	0	1	12	12	0	0	0	0	1	25	0	100	1	1	0	0	0	-1	-1	-1	0	0	
scene_lava	61	lava_hd	sfx/ambient/scene-2d_sd	ambient\scene\lava.flac	0	0	1	0	0	255	255	100	100	0	0	1	12	12	0	0	0	0	1	25	0	100	1	1	0	0	0	-1	-1	-1	0	0	
scene_mesa	62	mesa_hd	sfx/ambient/scene-2d_sd	ambient\scene\hell1.flac	0	0	1	0	0	201	201	100	100	0	0	1	12	12	0	0	0	0	1	25	0	100	1	1	0	0	0	-1	-1	-1	0	0	
scene_monastery	63	monastery_hd	sfx/ambient/scene-2d_sd	ambient\scene\creepywind.flac	0	0	1	0	0	200	200	100	100	0	0	1	12	12	0	0	0	0	1	25	0	100	1	1	0	0	0	-1	-1	-1	0	0	
scene_rain	64	rain_hd	sfx/ambient/scene-2d_sd	ambient\scene\rain2.flac	0	0	1	0	0	119	119	100	100	0	0	1	12	12	0	0	0	0	1	0	0	255	1	1	0	0	0	-1	-1	-1	0	0	
scene_sewer	65	sewer_hd	sfx/ambient/scene-2d_sd	ambient\scene\sewer.flac	0	0	1	0	0	255	255	100	100	0	0	1	12	12	0	0	0	0	1	25	0	100	1	1	0	0	0	-1	-1	-1	0	0	
scene_tavern_interior	66	tavern_interior_hd	sfx/ambient/scene-2d_sd	ambient\scene\cathedral.flac	0	0	1	0	0	255	255	100	100	0	0	1	12	12	0	0	0	0	1	25	0	100	1	1	0	0	0	-1	-1	-1	0	0	
scene_tomb	67	tomb_hd	sfx/ambient/scene-2d_sd	ambient\scene\tomb.flac	0	0	1	0	0	201	201	100	100	0	0	1	12	12	0	0	0	0	1	25	0	100	1	1	0	0	0	-1	-1	-1	0	0	
scene_town_3_day	68	town3day_hd	sfx/ambient/scene-2d_sd	ambient\scene\town3day.flac	0	0	1	0	0	255	255	100	100	0	0	1	12	12	0	0	0	0	1	25	0	100	1	1	0	0	0	-1	-1	-1	0	0	
scene_town_3_night	69	town3night_hd	sfx/ambient/scene-2d_sd	ambient\scene\town3night.flac	0	0	1	0	0	255	255	100	100	0	0	1	12	12	0	0	0	0	1	25	0	100	1	1	0	0	0	-1	-1	-1	0	0	
scene_wilderness_day	70	wilderness_day_2_hd	sfx/ambient/scene-2d_sd	ambient\scene\wilderness_day_2.flac	0	0	1	0	0	80	80	100	100	0	0	1	12	12	0	0	0	0	1	25	0	100	1	1	0	0	0	-1	-1	-1	0	0	
scene_wilderness_night	71	wilderness_night_hd	sfx/ambient/scene-2d_sd	ambient\scene\wilderness_night.flac	0	0	1	0	0	100	100	100	100	0	0	1	12	12	0	0	0	0	1	25	0	100	1	1	0	0	0	-1	-1	-1	0	0	
event_arcane_1	72	event_arcane_hd_9	sfx/ambient/event-3d_sd	ambient\event\wind6.flac	0	0	0	1	0	255	255	100	100	4	0	0	0	0	0	0	0	0	2	20	100	20	0	0	1	0	0	-1	-1	-1	0	0	
event_arcane_2	73		sfx/ambient/event-3d_sd	ambient\event\wind7.flac	0	0	0	1	0	255	255	100	100	0	0	0	0	0	0	0	0	0	2	20	100	20	0	0	1	0	0	-1	-1	-1	0	0	
event_arcane_3	74		sfx/ambient/event-3d_sd	ambient\event\wind8.flac	0	0	0	1	0	255	255	100	100	0	0	0	0	0	0	0	0	0	2	20	100	20	0	0	1	0	0	-1	-1	-1	0	0	
event_arcane_4	75		sfx/ambient/event-3d_sd	ambient\event\wind9.flac	0	0	0	1	0	255	255	100	100	0	0	0	0	0	0	0	0	0	2	20	100	20	0	0	1	0	0	-1	-1	-1	0	0	
event_arcane_5	76		sfx/ambient/event-3d_sd	none.flac	0	0	0	1	0	0	0	100	100	0	0	0	0	0	0	0	0	0	2	20	100	20	0	0	1	0	0	-1	-1	-1	0	0	
event_basement_1	77	event_basement_hd_1	sfx/ambient/event-3d_sd	ambient\event\wind1.flac	0	0	0	1	0	255	255	100	100	5	0	0	0	0	0	0	0	0	2	20	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_basement_2	78		sfx/ambient/event-3d_sd	ambient\event\wind2.flac	0	0	0	1	0	255	255	100	100	0	0	0	0	0	0	0	0	0	2	20	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_basement_3	79		sfx/ambient/event-3d_sd	ambient\event\wind3.flac	0	0	0	1	0	255	255	100	100	0	0	0	0	0	0	0	0	0	2	20	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_basement_4	80		sfx/ambient/event-3d_sd	ambient\event\wind4.flac	0	0	0	1	0	255	255	100	100	0	0	0	0	0	0	0	0	0	2	20	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_basement_5	81		sfx/ambient/event-3d_sd	ambient\event\wind5.flac	0	0	0	1	0	255	255	100	100	0	0	0	0	0	0	0	0	0	2	20	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_catacombs_1	82	event_catacombs_hd_5	sfx/ambient/event-3d_sd	ambient\event\scream1.flac	0	0	0	1	0	180	180	100	100	5	0	0	0	0	0	0	0	0	2	20	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_catacombs_2	83		sfx/ambient/event-3d_sd	ambient\event\scream2.flac	0	0	0	1	0	200	200	100	100	0	0	0	0	0	0	0	0	0	2	20	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_catacombs_3	84		sfx/ambient/event-3d_sd	ambient\event\scream3.flac	0	0	0	1	0	180	180	100	100	0	0	0	0	0	0	0	0	0	2	20	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_catacombs_4	85		sfx/ambient/event-3d_sd	ambient\event\scream4.flac	0	0	0	1	0	180	180	100	100	0	0	0	0	0	0	0	0	0	2	20	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_catacombs_5	86		sfx/ambient/event-3d_sd	ambient\event\scream5.flac	0	0	0	1	0	200	200	100	100	0	0	0	0	0	0	0	0	0	2	20	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_cave_1	87	event_cave_hd_8	sfx/ambient/event-3d_sd	ambient\event\drip1.flac	0	0	0	1	0	180	180	100	100	8	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_cave_2	88		sfx/ambient/event-3d_sd	ambient\event\drip2.flac	0	0	0	1	0	180	180	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_cave_3	89		sfx/ambient/event-3d_sd	ambient\event\drip3.flac	0	0	0	1	0	180	180	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_cave_4	90		sfx/ambient/event-3d_sd	ambient\event\drip4.flac	0	0	0	1	0	180	180	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_cave_5	91		sfx/ambient/event-3d_sd	ambient\event\drip5.flac	0	0	0	1	0	180	180	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_cave_6	92		sfx/ambient/event-3d_sd	ambient\event\drip6.flac	0	0	0	1	0	180	180	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_cave_7	93		sfx/ambient/event-3d_sd	ambient\event\drip7.flac	0	0	0	1	0	180	180	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_cave_8	94		sfx/ambient/event-3d_sd	ambient\event\drip8.flac	0	0	0	1	0	180	180	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_crypt_1	95	event_crypt_hd_1	sfx/ambient/event-3d_sd	ambient\event\thump6.flac	0	0	0	1	0	180	180	100	100	5	0	0	0	0	0	0	0	0	2	20	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_crypt_2	96		sfx/ambient/event-3d_sd	ambient\event\thump2.flac	0	0	0	1	0	180	180	100	100	0	0	0	0	0	0	0	0	0	2	20	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_crypt_3	97		sfx/ambient/event-3d_sd	ambient\event\thump3.flac	0	0	0	1	0	180	180	100	100	0	0	0	0	0	0	0	0	0	2	20	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_crypt_4	98		sfx/ambient/event-3d_sd	ambient\event\thump4.flac	0	0	0	1	0	180	180	100	100	0	0	0	0	0	0	0	0	0	2	20	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_crypt_5	99		sfx/ambient/event-3d_sd	ambient\event\thump5.flac	0	0	0	1	0	180	180	100	100	0	0	0	0	0	0	0	0	0	2	20	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_desert_day_1	100	event_desert_day_hd_5	sfx/ambient/event-3d_sd	ambient\event\desertinsect6.flac	0	0	0	1	0	32	32	100	100	5	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_desert_day_2	101		sfx/ambient/event-3d_sd	ambient\event\desertinsect5.flac	0	0	0	1	0	32	32	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_desert_day_3	102		sfx/ambient/event-3d_sd	ambient\event\desertinsect7.flac	0	0	0	1	0	120	120	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_desert_day_4	103		sfx/ambient/event-3d_sd	ambient\event\desertinsect3.flac	0	0	0	1	0	120	120	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_desert_day_5	104		sfx/ambient/event-3d_sd	ambient\event\desertinsect2.flac	0	0	0	1	0	32	32	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_desert_night_1	105	event_desert_night_hd_5	sfx/ambient/event-3d_sd	ambient\event\desertbirdie1.flac	0	0	0	1	0	120	120	100	100	5	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_desert_night_2	106		sfx/ambient/event-3d_sd	ambient\event\desertinsect1.flac	0	0	0	1	0	120	120	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_desert_night_3	107		sfx/ambient/event-3d_sd	ambient\event\desertinsect4.flac	0	0	0	1	0	59	57	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_desert_night_4	108		sfx/ambient/event-3d_sd	ambient\event\desertinsect3.flac	0	0	0	1	0	120	120	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_desert_night_5	109		sfx/ambient/event-3d_sd	ambient\event\desertinsect7.flac	0	0	0	1	0	120	120	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_harem_1	110	event_harem_hd_7	sfx/ambient/event-3d_sd	ambient\event\thump6.flac	0	0	0	1	0	180	180	100	100	8	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_harem_2	111		sfx/ambient/event-3d_sd	ambient\event\thump2.flac	0	0	0	1	0	180	180	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_harem_3	112		sfx/ambient/event-3d_sd	ambient\event\thump3.flac	0	0	0	1	0	180	180	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_harem_4	113		sfx/ambient/event-3d_sd	ambient\event\thump4.flac	0	0	0	1	0	180	180	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_harem_5	114		sfx/ambient/event-3d_sd	ambient\event\thump5.flac	0	0	0	1	0	180	180	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_harem_6	115		sfx/ambient/event-3d_sd	ambient\event\thump1.flac	0	0	0	1	0	180	180	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_harem_7	116		sfx/ambient/event-3d_sd	ambient\event\scream7.flac	0	0	0	1	0	200	200	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
event_harem_8	117		sfx/ambient/event-3d_sd	ambient\event\scream4.flac	0	0	0	1	0	200	200	100	100	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	1	0	0	-1	-1	-1	0	0	
