Name	Token
Fountain 4	F6
waypoint portal	wp
dungeonhealwell	dj
jerhyn	ss
jerhyn 	ss
innerhellshrine2	iw
innerhellshrine3	iv
innerhellobject3	iu
innerhellobject4	is
innerhellobject5	ir
hellobject4	hg
hidden door 2	h2
well	zw
zzz	9b
cwell	zc
arcane shrine	az
dshrine2	zs
shrine3	zr
dshrine1	zd
dwell	zl
cavwell	zy
chest2	q1
chest3	q2
chest1	q3
jug1	q4
jug2	q5
Lchest1	q6
waypointinnerhell	wi
dchest2	q9
dchestr	q7
dchestl	q8
sptomb	za
templeshrine	zv
dshrine4	ze
seven tomb receptacle	HA
duriels door	DX
guard corpse	GC
rock	c7
waypoint	wm
waypoint	wn
corpse	cp
rockb	cq
fire small	FX
fire medium	FY
fire large	FZ
cliff	cf
mana well1	MB
mana well2	MD
mana well3	MF
mana well4	MH
mana well5	MJ
log	cz
jungle healwell	JH
corpseb	sx
mana well6	Mk
mana well7	Mi
rockc	RY
rockd	RZ
chesst	c8
chest	c9
guardonastick	GS
bookshelf1	b4
bookshelf2	b5
jungle chest	JC
coffin	tm
jchest	jz
jshrine	jy
jobject1	jx
jobject3	jw
jobject4	jv
jobject5	ju
cain portal	tp
jshrine3	js
jshrine4	jr
teleport pad	7h
lam esen's tome	ab
dstairL	9c
dstairr	sv
test object trap melee	a5
jshrinewood	jq
chest	c0
mafistoshrine1	mz
mafistoshrine2	my
mafistoshrine3	mx
mafistomana	mw
mobject1	mv
mobject2	mu
mobject3	mt
mafistohealth	mr
wrok	rw
basket 1	bd
basket 2	bj
logw	lw
wrob	wb
bubbles	yb
logx	wd
rokb	wc
watc	we
waty	wy
logz	lx
webtree1	w3
webtree2	w4
webtree3	w5
webtree4	w6
hobject1	70
cacoon	CN
cacoon 2	CC
hobject3	ib
hshrine1	ia
blgb	QX
blga	qw
slimedoor1	SQ
slimedoor2	SY
hshrine2	ht
hshrine3	hq
hobject2	hv
blgc	Qy
blgd	Qz
hhealthwell	ho
waypointj	wz
waypointh	wv
burningbody	bz
gchest1	cy
gchest2	cx
gchest3	cu
glchest3	cd
rnest	rn
burningbody2	by
ratchest	ra
beda	qa
bedb	qb
hell mana shrine	hn
cowa	ew
gidbinn altar	ga
gidbinn decoy	gd
right light	11
left light	12
diablo start	ss
stol	s9
wdda	wg
wddb	wh
skla	QS
holyshrine	HL
tombspikes	A7
cshrine1	s0
jashrine1	jb
jahshrine	jd
jamshrine	jf
goopile	GP
bank	b6
wirt's corpse	BP
gold placement 	1g
guardcorpse2	GF
dead villager 1	dg
dead villager 2	df
flame1	f8
wumpus	f9
caveheal shrine	ce
cavemana shrine	cg
caveshrine	cj
dungeonmanawell	de
magicshrine	wj
sewerhealwell	wk
sewermanawell	wl
sewershrine2	ws
brazier	bi
anubiscoffin	QC
brazier	bm
brazier	bo
brazier	bq
waypoint	w7
ubed	ub
iron grate door left	dv
iron grate door right	dn
wooden grate door left	dp
wooden grate door right	dt
wooden door left	dk
wooden door right	dl
tombwalltorchL	qd
tombwalltorchR	qe
arcane sanctuary portal	ay
haramshrine1	hb
haramshrine2	hc
maggotwellheal	qf
maggotwellmana	qg
arcanesantuaryshrine	hd
teleportpad	7h
teleportpad	aa
teleportpad	aa
arcane rune #1	7a
arcane rune #2	7b
arcane rune #3	7c
arcane rune #4	7d
arcane rune #5	7e
arcane rune #6	7f
arcane rune #7	7g
harem guard 1	qh
harem guard 2	qi
harem guard 3	qj
harem guard 4	qk
eunuch	ss
ahshrine	ax
amshrine	au
Not Used	pp
twell	hu
swaypoint	qm
twaypoint	ql
s3shrine	qn
ddbody	qo
stra	V1
strb	V2
mchest1L	xb
mchest1R	xc
mchest2L	xd
mchest2R	xe
schest1L	xf
schest3L	xg
schest2r	xh
schest3r	xi
steeg stone	y6
guild vault	y4
trophy case	y2
message board	y3
mbridge	xj
hellgate	1y
kmshrine	xl
khshrine	xm
hellfire1	e3
hellfire2	e4
hellfire3	e5
helllava1	e6
helllava2	e7
helllava3	e8
helllightsource1	ss
helllightsource2	ss
helllightsource3	ss
chest	xk
chest	xk
chest	xk
tome	tt
hell brazier	e1
hell brazier	e2
rockpile	xn
dshrine2	xo
dbasket	xp
hhobject4	xq
duda	ea
dungncasket	vb
sewerstairs	ve
sewerlever	vf
darkwandererstart	ss
trapped placeholder	ss
jungletorch2	vg
forgottentowerchest	L1
innerhellbone	y1
skla	Qt
rfga	ud
hellbridge	xx
fora	ux
Guild portal	pp
hratli start	ss
hratli end	ss
guyq	uy
guyq	15
Natalya Start	ss
damnedsoul	18
damnedsoul	19
cain start	ss
reallythelastobject	sv
chest	y7
casket	y8
chest	y9
chest	ya
chest	yc
diablo seal	30
diablo seal	31
diablo seal	32
diablo seal	33
diablo seal	34
sparklechest	yf
pfwaypoint	yg
fissure	fh
hellbrazier	he
hellsmoke	35
waypoint	yi
hellbrazier	9f
compelling orb	55
chest	xk
chest	xk
chest	xk
fortress brazier #1	98
fortress brazier #2	99
Expansion	
Siege Control	zq
ptox	px
pyox	py
echest	6q
eshrine1	6r
eshrine2	6s
eobject1	3w
eflag	ym
ebarrel	yn
eexplodingbarrel	yo
ewoodchest	yp
eshrine3	yq
emanashrine	yr
ehealthshrine	ys
eburialchestL	yt
eburialchestR	yu
ewell	yv
eshrine4	yw
eshrine2wsnow	yx
ewaypoint	yy
echestL	yz
ewoodchestR	6a
echestSL	6b
echestSR	6c
etorch1	6d
ecfra	2w
ettr	2x
etorch1	6e
eburningbodies	6f
eburningpit	6g
eflag	6h
eflg	2y
chan	2z
ejar1	6i
ejar2	6j
ejar3	6k
eswing	6L
epole	6m
eshit	6n
gate	2v
eshit2	6o
ehgate	6p
banner 1	ao
banner 2	ap
eexplodingchest	6t
specialchest	6u
deathpole	6v
Ldeathpole	6w
Altar	6x
dummy	ss
dummy	ss
dummy	ss
dummy	ss
icecave_obj	6y
icecave_health	8a
icecave_mana	8b
icecave_evilurn	8c
icecave_jar1	8d
icecave_jar2	8e
icecave_jar3	8f
icecave_jar4	8g
icecave_jar5	8h
icecave_shrine2	8i
wussiecage	ss
statue	60
statue	61
statue	62
deadbarbarian	8j
client smoke	oz
icecave_shrine1	8k
icecave_torch	8L
icecave_torch2	8m
ttor	2p
baals_manawell	8n
baals_healthwell	8o
baals_tomb1	8p
baals_tomb2	8q
baals_tomb3	8r
baals_shrine1	8s
baals_torch1	8t
baals_torch2	8u
snowy_mana	8v
snowy_health	8w
snowy_well	8x
baals_waypoint	8y
snowy_shrine3	8z
wilderness_waypoint	5a
snowy_shrine4	5b
baals_well	5c
baals_shrine2	5d
snowy_object1	5e
snowy_woodchestL	5f
snowy_woodchestR	5g
baals_shrine3	5h
snowy_woodchest2L	5i
snowy_woodchest2R	5j
snowy_hangingbodies	5k
snowy_debris	5L
pene	2q
temple_shrine1	5m
snowy_mrpole	5n
icave_waypoint	5o
etemple_shrine2	5t
etemple_well	5q
etemple_torch1	5r
etemple_torch2	5s
etemple_object1	5u
etemple_object2	5v
ebaals_mrbox	5w
eicecave_well	5x
etemple_shrine3	5y
etemple_health	5z
etemple_mana	3a
dummy	ss 
ebaals_tomb1L	3b
ebaals_tomb2L	3c
ebaals_tomb3L	3d
ubub	2u
sbub	2s
eredbaals_tomb1	3f
eredbaals_tomb1L	3g
eredbaals_tomb2	3h
eredbaals_tomb2L	3i
eredbaals_tomb3	3j
eredbaals_tomb3L	3k
eredbaals_mrbox	3L
eredbaals_torch1	3m
eredbaals_torch2	3n
etemple_candle	3o
etemple_waypoint	3p
edeadperson	3q
etemple_groundtomb	3s
Larzuk Greeting	ss 
Larzuk Standard	ss 
etemple_groundtombL	3t
edeadperson2	3u
ancientsaltar	4a
ancientsdoor	4b
eweaponrackR	3x
eweaponrackL	3y
earmorstandR	3z
earmorstandL	4c
esummittorch	9g
efuneralpire	9h
eburninglogs	9i
stma	2o
edeadperson2L	3v
client only thingie	ss 
fana	2n
BBQB	29
btor	25
invisible ancient	ss 
collision	ss 
baalsportal	4x
summitdoor	4u
lastportal	pp
onemorelastportal	pp
zoo	ss 
keeper	7z
baalsportal2	4x
fireplaceguy	7y
dummy	ss 
dummy	ss 
