Handle	Index	Song	Day Ambience	HD Day Ambience	Night Ambience	HD Night Ambience	Day Event	HD Day Event	Night Event	HD Night Event	Event Delay	HD Event Delay	Indoors	Material 1	HD Material 1	Material 2	HD Material 2	SFX EAX Environ	SFX EAX Room Vol	SFX EAX Room HF	SFX EAX Decay Time	SFX EAX Decay HF	SFX EAX Reflect	SFX EAX Reflect Delay	SFX EAX Reverb	SFX EAX Rev Delay	VOX EAX Environ	VOX EAX Room Vol	VOX EAX Room HF	VOX EAX Decay Time	VOX EAX Decay HF	VOX EAX Reflect	VOX EAX Reflect Delay	VOX EAX Reverb	VOX EAX Rev Delay
ESOUNDENVIRON_CATACOMBS	10	music_monastery	scene_catacombs	scene_catacombs	scene_catacombs	scene_catacombs	event_catacombs_1	event_catacombs_1	event_catacombs_1	event_catacombs_1	800	800	1	2	2	0	0	5	-1500	-300	2310	640	-711	12	83	17	5	-1500	-300	2310	640	-711	12	83	17
ESOUNDENVIRON_ANDARIEL_LAIR	11	music_monastery	scene_catacombs	scene_catacombs	scene_catacombs	scene_catacombs	event_catacombs_1	event_catacombs_1	event_catacombs_1	event_catacombs_1	250	250	1	2	2	0	0	6	-1540	-476	2600	590	-789	20	-289	30	6	-1540	-476	2600	590	-789	20	-289	30
ESOUNDENVIRON_TOWN_2	12	music_town_2	scene_desert_day	scene_desert_day	scene_desert_night	scene_desert_night	event_town_2_day_1	event_town_2_day_hd_7	event_town_2_night_1	event_town_2_night_hd_1	200	200	0	3	3	4	4	17	-1350	-500	250	100	-700	175	-1434	100	17	-2300	-750	500	175	-800	175	0	100
ESOUNDENVIRON_DESERT	13	music_desert	scene_desert_day	scene_desert_day	scene_desert_night	scene_desert_night	event_desert_day_1	event_desert_day_1	event_desert_day_1	event_desert_day_1	250	250	0	4	4	3	3	17	-1800	-500	250	150	-800	175	20	100	17	-2100	0	250	100	-900	167	80	100
ESOUNDENVIRON_VALLEY_OF_KINGS	14	music_valley	scene_desert_day	scene_desert_day	scene_desert_night	scene_desert_night	event_desert_day_1	event_desert_day_1	event_desert_day_1	event_desert_day_1	100	100	0	4	4	3	3	0	-1250	-10000	0	0	0	0	0	0	0	-1250	-10000	0	0	0	0	0	0
ESOUNDENVIRON_SEWERS	15	music_sewer	scene_sewer	scene_sewer	scene_sewer	scene_sewer	event_cave_1	water_drips_sewer_hd2	event_cave_1	water_drips_sewer_hd2	150	300	1	2	2	0	0	13	-1600	-237	2000	790	-1214	13	395	20	13	-2200	-237	1800	790	-800	13	395	50
ESOUNDENVIRON_HAREM	16	music_harem	scene_harem	scene_harem	scene_harem	scene_harem	event_harem_1	event_harem_1	event_harem_1	event_harem_1	750	750	1	2	2	0	0	9	-1800	-300	2000	330	-1166	55	150	55	9	-2100	-698	4000	330	-1166	20	150	30
ESOUNDENVIRON_CORRUPT_HAREM	17	music_harem	scene_harem	scene_harem	scene_harem	scene_harem	event_harem_1	event_harem_1	event_harem_1	event_harem_1	750	750	1	2	2	0	0	9	-2000	-698	4000	330	-1166	20	16	30	9	-2200	-698	4000	330	-1166	20	16	30
ESOUNDENVIRON_BASEMENT	18	music_harem	scene_catacombs	scene_catacombs	scene_catacombs	scene_catacombs	event_harem_1	event_harem_1	event_harem_1	event_harem_1	750	750	1	2	2	0	0	10	-1350	-350	3300	230	-602	20	198	75	10	-1500	-1000	3500	230	-500	20	198	75
ESOUNDENVIRON_TOMBS	19	music_tombs	scene_cave	tomb_hd	scene_cave	tomb_hd	event_lair_1	event_tombs_hd_4	event_lair_1	event_tombs_hd_4	500	500	1	2	2	4	4	9	-1500	-698	3400	330	-500	20	16	56	9	-1500	-698	3400	330	-500	20	16	56
ESOUNDENVIRON_MAGGOT_LAIR	20	music_lair	scene_tomb	maggot_lair_hd	scene_tomb	maggot_lair_hd	event_basement_1	event_basement_1	event_basement_1	event_basement_1	500	500	1	1	1	0	0	13	-1600	-237	1800	790	-812	13	500	20	13	-1500	-1500	3500	790	-500	45	0	45
ESOUNDENVIRON_DURIEL_LAIR	21	music_tombs	scene_tomb	scene_tomb	scene_tomb	scene_tomb	event_basement_1	event_basement_1	event_basement_1	event_basement_1	500	500	1	2	2	0	0	13	-1700	-237	2000	790	-1214	13	395	20	13	-2100	-237	2000	790	-1214	13	395	20
ESOUNDENVIRON_ARCANE	22	music_sanctuary	scene_arcane	scene_arcane	scene_arcane	scene_arcane	event_arcane_distant_1	event_arcane_distant_hd1	event_arcane_distant_1	event_arcane_distant_hd1	300	300	0	2	2	0	0	7	-900	-2000	4000	700	-1230	0	350	0	7	-900	-2500	5000	700	-1230	20	150	100
ESOUNDENVIRON_TOWN_3	23	music_town_3	scene_town_3_day	scene_town_3_day	scene_town_3_night	scene_town_3_night	event_town_3_day_1	event_town_3_day_hd_4	event_town_3_night_1	event_town_3_night_hd_1	100	100	0	1	1	0	0	17	-2000	-500	100	175	0	175	462	80	17	-2700	-300	650	100	250	120	250	90
ESOUNDENVIRON_JUNGLE	24	music_jungle	scene_jungle_day	scene_jungle_day	scene_jungle_night	scene_jungle_night	event_jungle_day_1	event_jungle_day_hd_4	event_jungle_night_1	event_jungle_night_hd_1	300	100	0	1	1	0	0	17	-1350	-650	3500	2000	-1500	271	-1702	100	17	-2300	-500	4200	2000	-250	175	-1000	100
ESOUNDENVIRON_KURAST	25	music_kurast	scene_town_3_day	scene_town_3_day	scene_jungle_night	scene_jungle_night	event_kurast_day_1	event_kurast_day_hd_4	event_kurast_night_1	event_kurast_night_2	325	100	0	1	1	0	0	17	-2000	0	3500	100	-800	236	0	0	17	-2000	0	3500	100	-800	236	0	0
ESOUNDENVIRON_KURAST_SEWER	26	music_kurast_sewer	scene_cave	scene_cave	scene_cave	scene_cave	event_crypt_1	event_tombs_hd1	event_crypt_1	event_tombs_hd1	500	500	1	2	2	0	0	5	-1500	-300	2700	640	0	75	83	17	5	-2000	-300	2700	640	0	75	83	17
ESOUNDENVIRON_DUNGEON	27	music_spider	scene_sewer	scene_sewer	scene_sewer	scene_sewer	event_lair_1	event_lair_hd_8	event_lair_1	event_lair_hd_8	250	250	1	2	2	0	0	5	-1900	-300	1700	640	-711	12	83	17	5	-2200	-300	1700	640	-711	12	83	17
ESOUNDENVIRON_TEMPLE	28	music_kurast_sewer	scene_cathedral	scene_cathedral	scene_cathedral	scene_cathedral	event_temple_1	event_temple_hd_9	event_temple_1	event_temple_hd_9	250	250	0	2	2	0	0	9	-2200	-1250	4100	1167	0	200	16	95	9	-2500	-250	3330	1167	-1166	95	16	95
ESOUNDENVIRON_SPIDER_LAIR	29	music_spider	scene_cave	scene_cave	scene_cave	scene_cave	event_arcane_1	event_basement_hd_1	event_arcane_1	event_basement_hd_1	250	250	1	1	1	0	0	5	-1600	-300	2310	330	-711	12	83	17	5	-1400	-200	3500	330	-711	12	83	17
ESOUNDENVIRON_MEPHISTO_LAIR	30	music_kurast_sewer	scene_catacombs	scene_catacombs	scene_catacombs	scene_catacombs	event_temple_1	event_temple_hd_9	event_temple_1	event_temple_hd_9	250	250	1	2	2	0	0	7	-2200	-500	4750	700	-1230	20	-2	29	7	-3200	-500	4750	700	-1230	20	-2	29
ESOUNDENVIRON_TOWN_4	31	music_town_4	scene_mesa	scene_mesa	scene_mesa	scene_mesa		event_cathedral_hd2		event_cathedral_hd2	100	100	0	1	1	0	0	17	-1800	-650	2000	500	-300	175	150	100	17	-2900	-500	3000	1618	200	250	200	100
ESOUNDENVIRON_MESA	32	music_mesa	scene_mesa	scene_mesa	scene_mesa	scene_mesa	event_catacombs_1	event_catacombs_hd_5	event_catacombs_1	event_catacombs_hd_5	300	300	0	1	1	0	0	12	-2800	-300	4300	300	1000	95	700	95	12	-3200	-300	4300	590	1000	95	700	95
ESOUNDENVIRON_LAVA	33	music_mesa	scene_lava	scene_lava	scene_lava	scene_lava	event_lava_1	event_lava_1	event_lava_1	event_lava_1	300	300	0	1	1	0	0	12	-2900	-300	4700	590	-1217	7	441	100	12	-3200	-300	4700	590	-1217	7	441	11
ESOUNDENVIRON_DIABLO_LAIR	34	music_diablo	scene_lava	scene_lava	scene_lava	scene_lava	event_lava_1	event_lava_1	event_lava_1	event_lava_1	300	300	0	1	1	0	0	12	-2500	-300	4700	590	-1217	7	441	11	12	-3000	-300	4700	590	-1217	7	441	11
ESOUNDENVIRON_GUILD	35	music_wilderness	scene_wilderness_day	scene_wilderness_day	scene_wilderness_night	scene_wilderness_night					250	250	0	1	1	5	5	0	-10000	0	0	0	0	0	0	0	0	-10000	-10000	0	0	0	0	0	0
ESOUNDENVIRON_XTOWN	36	music_xtown	scene_wilderness_day	scene_wilderness_day	scene_wilderness_night	scene_wilderness_night		event_town_1_day_hd1		event_wild_night_hd_1	250	250	0	1	1	3	3	0	-1300	-350	1511	162	-1000	175	-500	100	0	-2400	-250	350	210	-500	175	-500	100
ESOUNDENVIRON_BARRICADE	37	music_xsiege	scene_wilderness_day	scene_wilderness_day	scene_wilderness_night	scene_wilderness_night	event_arcane_1	event_town1_day_hd2	event_basement_1	event_town1_day_hd2	250	250	0	1	1	5	5	17	-2100	-2500	1490	210	-2780	226	-1434	100	17	-2100	-2500	1490	210	-2780	226	-1434	100
ESOUNDENVIRON_BARRICADESNOW	38	music_xsiege	scene_wilderness_day	scene_wilderness_day	scene_wilderness_night	scene_wilderness_night	event_arcane_1	event_town1_day_hd2	event_basement_1	event_town1_day_hd2	250	250	0	1	1	6	6	17	-2100	-2500	1490	210	-2780	226	-1434	100	17	-2100	-2500	1490	210	-2780	226	-1434	100
ESOUNDENVIRON_ICECAVE1	39	music_xicecaves	scene_cave	scene_cave	scene_cave	scene_cave	event_cave_1	event_cave_drips_hd1	event_lair_1	event_cave_drips_hd1	250	250	1	2	2	5	5	5	-1400	-300	3000	330	0	12	500	60	5	-2100	-300	3500	330	100	60	250	80
ESOUNDENVIRON_ICECAVE2	40	music_xicecaves	scene_cave	scene_cave	scene_cave	scene_cave	event_lair_1	event_cave_drips_hd1	event_cave_1	event_cave_drips_hd1	250	250	1	2	2	5	5	5	-1400	-300	3000	330	75	12	500	80	5	-2100	-300	3500	330	100	60	250	80
ESOUNDENVIRON_ICECAVE3	41	music_xicecaves	scene_cave	scene_cave	scene_cave	scene_cave	event_cave_1	event_cave_drips_hd1	event_lair_1	event_cave_drips_hd1	250	250	1	2	2	5	5	5	-1400	-300	3000	330	0	12	500	60	5	-2000	-300	3000	330	100	120	250	80
ESOUNDENVIRON_MOUNTAINTOP	42	music_xsiege	scene_monastery	scene_monastery	scene_monastery	scene_monastery	event_arcane_1	event_town1_day_hd2	event_basement_1	event_town1_day_hd2	250	250	0	3	3	6	6	17	-1500	-500	250	210	-1400	210	-1600	100	17	-2200	0	1490	210	-1400	210	-1434	100
ESOUNDENVIRON_XTEMPLEENTRANCE	43	music_xsiege	scene_monastery	scene_monastery	scene_monastery	scene_monastery	event_basement_1	event_basement_hd_1	event_arcane_1	event_basement_hd_1	500	500	0	1	1	6	6	17	-2100	-2500	1490	210	-2780	226	-1434	100	17	-2100	-2500	1490	210	-2780	226	-1434	100
ESOUNDENVIRON_XTEMPLE	44	music_xtemple	scene_catacombs	scene_catacombs	scene_catacombs	scene_catacombs	event_temple_1	event_temple_hd_9	event_temple_1	event_temple_hd_9	250	250	1	1	1	2	2	7	-1600	-500	2000	700	0	60	500	80	7	-2200	-500	3000	700	0	20	250	80
ESOUNDENVIRON_XTEMPLEBOSS	45	music_xtemple	scene_catacombs	scene_catacombs	scene_catacombs	scene_catacombs	event_arcane_1	event_basement_hd_1	event_arcane_1	event_basement_hd_1	250	250	1	1	1	2	2	7	-1600	-500	2000	700	0	60	500	80	7	-2200	-500	3000	700	0	20	250	80
ESOUNDENVIRON_XHELL	46	music_mesa	scene_mesa	scene_mesa	scene_mesa	scene_mesa	event_lava_1	event_lava_hd_1	event_lava_1	event_lava_hd_1	300	300	1	1	1	0	0	12	-2500	-500	4500	590	0	7	441	100	12	-2500	-300	4500	590	-1217	7	441	100
ESOUNDENVIRON_BAALTEMPLE	47	music_xbaal	scene_catacombs	scene_catacombs	scene_catacombs	scene_catacombs	event_catacombs_1	event_catacombs_hd_5	event_catacombs_1	event_catacombs_hd_5	250	250	1	2	2	5	5	7	-1500	-500	4750	700	0	80	-2	80	7	-2000	-500	4750	700	-1230	80	-2	80
ESOUNDENVIRON_BAALTHRONE	48	music_xbaal	scene_catacombs	scene_catacombs	scene_catacombs	scene_catacombs	event_catacombs_1	event_catacombs_hd_5	event_catacombs_1	event_catacombs_hd_5	250	250	1	2	2	5	5	7	-1400	-500	4750	700	0	80	-2	80	7	-1400	-500	4750	700	-1230	20	-2	29
ESOUNDENVIRON_WORLDSTONE	49	music_xbaal	scene_cathedral	scene_cathedral	scene_cathedral	scene_cathedral	event_catacombs_1	event_catacombs_1	event_catacombs_1	event_catacombs_1	250	250	1	2	2	0	0	7	-1500	-700	4500	700	0	100	200	100	7	-2000	-700	4500	700	0	100	50	100
ESOUNDENVIRON_TOWN_2_BIG_SLAP	50	music_town_2	scene_desert_day	scene_desert_day	scene_desert_night	scene_desert_night	event_town_2_day_1	event_town_2_day_2	event_town_2_night_1	event_town_2_night_2	100	100	0	3	3	4	4	17	-1350	-500	250	100	-700	175	-1434	100	17	-2100	-1111	500	175	-800	175	0	100
ESOUNDENVIRON_TOWN_2_BAR	51	music_town_2	scene_desert_day	scene_desert_day	scene_desert_night	scene_desert_night	event_town_2_day_1	event_town_2_day_2	event_town_2_night_1	event_town_2_night_2	100	100	0	3	3	4	4	17	-1400	-500	1000	175	0	25	462	100	17	-2000	-750	1350	175	-100	75	600	75
ESOUNDENVIRON_TOWN_2_PALACE	52	music_town_2	scene_desert_day	scene_desert_day	scene_desert_night	scene_desert_night	event_town_2_day_1	event_town_2_day_2	event_town_2_night_1	event_town_2_night_2	100	100	0	2	2	2	2	17	-1500	0	3200	330	-350	100	83	100	17	-2500	-300	3200	330	-350	100	83	100
ESOUNDENVIRON_TOWN_3_INDOOR	53	music_town_3	scene_town_3_day	scene_town_3_day	scene_town_3_night	scene_town_3_night	event_town_3_day_1	event_town_3_day_1	event_town_3_night_1	event_town_3_night_1	100	100	0	1	1	0	0	17	-900	-500	500	175	0	25	462	100	17	-1650	-750	1000	175	0	60	560	100
ESOUNDENVIRON_TOWN_3_INDOOR_SMALL	54	music_town_3	scene_town_3_day	scene_town_3_day	scene_town_3_night	scene_town_3_night	event_town_3_day_1	event_town_3_day_1	event_town_3_night_1	event_town_3_night_1	100	100	0	1	1	0	0	17	-900	-500	500	175	0	35	462	100	25	-1500	-650	750	175	0	35	560	50
ESOUNDENVIRON_ACT1_COTTAGE	55	music_wilderness	scene_wilderness_day	scene_wilderness_day	scene_wilderness_night	scene_wilderness_night	event_wild_day_1	event_wild_day_1	event_wild_night_1	event_wild_night_1	250	250	1	1	6	0	6	2	-900	-500	500	175	0	35	462	100	2	-1400	-650	750	175	0	35	560	50
ESOUNDENVIRON_ACT1_TOWER_ENTRANCE	56	music_wilderness	scene_wilderness_day	scene_wilderness_day	scene_wilderness_night	scene_wilderness_night	event_wild_day_1	event_wild_day_1	event_wild_night_1	event_wild_night_1	250	250	1	2	2	0	6	2	-1200	-100	1500	175	150	65	462	100	2	-2000	-100	1500	175	150	65	560	50
ESOUNDENVIRON_DESERT_FRONT_END	57	music_desert	act2_scene_hd_front_end	act2_scene_hd_front_end	act2_scene_hd_front_end	act2_scene_hd_front_end	event_fe_act_2_birds_hd1	event_fe_act_2_birds_hd1	event_fe_act_2_birds_hd1	event_fe_act_2_birds_hd1	500	500	0	4	4	3	3	17	-1800	-500	250	175	-700	175	20	100	17	-2000	0	250	100	-900	125	80	100
ESOUNDENVIRON_MESA_FRONT_END	58	music_mesa	act4_scene_hd_front_end	act4_scene_hd_front_end	act4_scene_hd_front_end	act4_scene_hd_front_end	event_fe_act_4_hd1	event_fe_act_4_hd1	event_fe_act_4_hd1	event_fe_act_4_hd1	900	900	0	1	1	0	0	12	-2500	-300	4700	590	-1217	7	441	11	12	-3000	-300	4700	590	-1217	7	441	11
ESOUNDENVIRON_MONASTERY_FRONT_END	59	music_monastery	act5_scene_hd_front_end	act5_scene_hd_front_end	act5_scene_hd_front_end	act5_scene_hd_front_end	event_fe_act_5_hd1	event_fe_act_5_hd1	event_fe_act_5_hd1	event_fe_act_5_hd1	900	900	0	1	1	3	3	7	-1900	-500	3300	700	-1230	20	-2	29	7	-1800	-500	3300	700	-1230	20	-2	29
ESOUNDENVIRON_TOWN_3_FRONT_END	60	music_town_3	act3_scene_hd_front_end	act3_scene_hd_front_end	act3_scene_hd_front_end	act3_scene_hd_front_end	event_fe_act_3_birds_hd1	event_fe_act_3_birds_hd1	event_fe_act_3_birds_hd1	event_fe_act_3_birds_hd1	500	500	0	1	1	0	0	17	-2000	-500	100	175	0	175	462	80	17	-2700	-300	650	100	250	120	250	90
ESOUNDENVIRON_WILDERNESS_FRONT_END	61	music_wilderness	act1_scene_front_end	act1_scene_front_end	act1_scene_front_end	act1_scene_front_end	event_fe_act_1_windloop_hd	event_fe_act_1_windloop_hd	event_fe_act_1_windloop_hd	event_fe_act_1_windloop_hd	1000	1000	0	1	1	5	5	17	-1350	-500	250	100	-700	175	-1434	100	17	-1350	0	250	210	-1000	175	-1434	100
ESOUNDENVIRON_CAMPFIRE_FRONT_END	62	music_town_4	campfire_front_end	campfire_front_end	campfire_front_end	campfire_front_end					100	100	0	1	1	0	0	17	-1800	-650	3000	500	-300	175	150	100	17	-2500	-400	2000	1618	245	200	17	100
ESOUNDENVIRON_KURAST_INDOOR_TEMPLE	63	music_kurast	scene_town_3_day	scene_town_3_day	scene_jungle_night	scene_jungle_night					325	100	0	1	3	0	0	17	-1250	0	1800	330	0	85	83	65	17	-2000	0	1500	330	-350	100	83	100
ESOUNDENVIRON_KURAST_INDOOR_TEMPLE_SMALL	64	music_kurast	scene_town_3_day	scene_town_3_day	scene_jungle_night	scene_jungle_night					325	100	0	1	3	0	0	17	-900	0	1200	175	0	35	462	20	25	-1500	0	1500	175	100	35	560	35
ESOUNDENVIRON_KURAST_HUT_INDOOR_SMALL	65	music_kurast	scene_town_3_day	scene_town_3_day	scene_jungle_night	scene_jungle_night					325	100	0	1	1	0	0	17	-900	-500	500	175	0	35	462	100	25	-1500	-650	750	175	0	35	560	50
ESOUNDENVIRON_KURAST_HUT_INDOOR	66	music_kurast	scene_town_3_day	scene_town_3_day	scene_jungle_night	scene_jungle_night					325	100	0	1	1	0	0	17	-900	-500	500	175	0	25	462	100	17	-1650	-750	1000	175	0	60	560	100
ESOUNDENVIRON_TOWN_4_INDOOR_FORT	67	music_town_4	scene_mesa	scene_mesa	scene_mesa	scene_mesa		event_cathedral_hd2		event_cathedral_hd2	100	100	0	1	1	0	0	17	-1250	0	1800	330	0	85	83	65	17	-2000	0	1500	330	-350	100	83	100
ESOUNDENVIRON_FE_ACT_1	68										500	500	0	0	0	0	0	17	-1250	-500	250	100	-700	175	-1434	100	17	-2100	-750	1200	150	-950	175	-1200	100
ESOUNDENVIRON_XTEMPLE_INDOOR	69	music_xsiege	scene_monastery	scene_monastery	scene_monastery	scene_monastery	event_basement_1	event_basement_hd_1	event_arcane_1	event_basement_hd_1	500	500	0	1	1	6	6	17	-1250	0	1800	330	0	85	83	65	17	-2000	0	1500	330	-350	100	83	100
ESOUNDENVIRON_BARRICADE_FARM_HOUSE	70	music_xsiege	scene_wilderness_day	scene_wilderness_day	scene_wilderness_night	scene_wilderness_night	event_arcane_1	event_town1_day_hd2	event_basement_1	event_town1_day_hd2	250	250	0	1	1	5	5	17	-900	-500	500	175	0	35	462	100	2	-900	-650	750	175	0	35	560	50
ESOUNDENVIRON_XTOWN_INDOOR	71	music_xtown	scene_wilderness_day	scene_wilderness_day	scene_wilderness_night	scene_wilderness_night					250	250	0	1	1	3	3	0	-1250	0	1800	330	0	85	83	65	17	-2000	0	1500	330	-350	100	83	100
ESOUNDENVIRON_DISABLE_REVERB	72										250	250	0	0	0	0	0	0	-10000	0	0	0	-10000	0	-10000	0	0	-10000	0	0	0	-10000	0	-10000	0
ESOUNDENVIRON_ACT1_INDOOR_TOWER	73	music_crypt	scene_crypt	scene_crypt	scene_crypt	scene_crypt					150	150	1	2	2	0	0	5	-1250	0	1800	330	0	85	83	65	17	-2000	0	1500	330	-350	100	83	100
ESOUNDENVIRON_ICECAVE_RIVER	74	music_xicecaves	scene_cave	scene_cave	scene_cave	scene_cave	event_cave_1	event_ice_rivier_hd2	event_lair_1	event_ice_rivier_hd2	50	50	1	2	2	5	5	5	-1300	-450	4000	330	100	12	500	60	5	-2100	-300	3500	330	100	60	250	80
